FULL NAME,TEAM,POS,AGE,GP,MPG,ORTG,DRTG,USG%,TO%,3PA,3P%,FTA,FT%,eFG%,TS%,MPG,PPG,RPG,APG,VI,,
D.J. White,Okc,PF,23,12,70,132.4,102.4,21.8,0.062,0,0,10,0.9,0.61,0.65,8.3,4.9,1.9,0.3,1.7,,
Damien Wilkins,Min,SG,30,80,2,105.1,111.4,14.4,0.148,61,0.295,129,0.798,0.457,0.515,19.6,5.6,3.1,1.7,4.7,,
Deron Williams,Uta,PG,25,76,6,115.8,108.1,24.3,0.169,259,0.371,418,0.801,0.515,0.574,36.7,18.7,4,10.5,11.6,,
Dorell Wright,Mia,SF,24,72,10,114.1,104.6,15.9,0.106,157,0.389,69,0.884,0.536,0.567,20.6,7.1,3.3,1.3,4.5,,
Earl Boykins,Was,SG,33,67,15,103.6,114.6,21.2,0.137,60,0.317,89,0.865,0.451,0.499,16.5,6.6,1.1,2.6,3.6,,
Elton Brand,Phi,PF,30,76,6,104.4,109.7,22,0.12,1,0,233,0.738,0.48,0.518,30,13.1,6.1,1.4,6.4,,
Erick Dampier,Dal,C,34,55,27,117.9,103.8,11.4,0.195,3,0.333,101,0.604,0.63,0.64,23.1,6,7.3,0.6,4.7,,
Eric Gordon,Lac,SG,21,62,20,107.8,113.5,21.8,0.136,321,0.371,299,0.742,0.525,0.571,35.7,16.9,2.6,3,6.5,,
Eddie House,Nyk,SG,31,18,64,87.7,113.9,19.2,0.126,60,0.25,12,1,0.387,0.416,20.4,6.4,2.2,2.1,4.6,,
Eddie House,Bos,SG,31,50,32,104,107.1,20.2,0.074,167,0.383,40,0.9,0.5,0.527,16.7,7.2,1.4,1,2.9,,
Ersan Ilyasova,Mil,SF,22,81,1,109.9,103.4,21.5,0.081,241,0.336,158,0.715,0.499,0.526,23.2,10.4,6.4,1,5.3,,
Eric Maynor,Uta,PG,22,26,56,99.3,108.1,22.4,0.16,24,0.208,33,0.758,0.41,0.454,13.7,5.2,1.5,3.1,4,,
Eric Maynor,Okc,PG,22,55,27,104.7,107.2,15.5,0.184,47,0.362,39,0.692,0.47,0.492,16.3,4.5,1.7,3.4,4.6,,
Eduardo Najera,Dal,PF,33,33,49,109.8,106.3,10.5,0.118,47,0.34,12,0.667,0.543,0.555,14.4,3.3,2.3,0.4,2.4,,
Eduardo Najera,Njn,PF,33,13,69,86.9,109.4,16.1,0.171,17,0.176,12,0.5,0.406,0.42,15.4,3.8,2.9,1.2,3.8,,
